Samples	Read1	Read2
Isolate_1	/data/metagenomics/formica_rufa_bacterial_genomes/data/CharlotteDurant210507/050721_181/Isolate_1_S181_R1_001.fastq.gz	/data/metagenomics/formica_rufa_bacterial_genomes/data/CharlotteDurant210507/050721_181/Isolate_1_S181_R2_001.fastq.gz
Isolate_2	/data/metagenomics/formica_rufa_bacterial_genomes/data/CharlotteDurant210507/050721_182/Isolate_2_S182_R1_001.fastq.gz	/data/metagenomics/formica_rufa_bacterial_genomes/data/CharlotteDurant210507/050721_182/Isolate_2_S182_R2_001.fastq.gz
Isolate_3	/data/metagenomics/formica_rufa_bacterial_genomes/data/CharlotteDurant210507/050721_192/Isolate_3_S192_R1_001.fastq.gz	/data/metagenomics/formica_rufa_bacterial_genomes/data/CharlotteDurant210507/050721_192/Isolate_3_S192_R2_001.fastq.gz
Isolate_7	/data/metagenomics/formica_rufa_bacterial_genomes/data/CharlotteDurant210507/050721_183/Isolate_7_S183_R1_001.fastq.gz	/data/metagenomics/formica_rufa_bacterial_genomes/data/CharlotteDurant210507/050721_183/Isolate_7_S183_R2_001.fastq.gz
Isolate_11	/data/metagenomics/formica_rufa_bacterial_genomes/data/CharlotteDurant210507/050721_184/Isolate_11_S184_R1_001.fastq.gz	/data/metagenomics/formica_rufa_bacterial_genomes/data/CharlotteDurant210507/050721_184/Isolate_11_S184_R2_001.fastq.gz	
Isolate_14	/data/metagenomics/formica_rufa_bacterial_genomes/data/CharlotteDurant210507/050721_185/Isolate_14_S185_R1_001.fastq.gz	/data/metagenomics/formica_rufa_bacterial_genomes/data/CharlotteDurant210507/050721_185/Isolate_14_S185_R2_001.fastq.gz
Isolate_18	/data/metagenomics/formica_rufa_bacterial_genomes/data/CharlotteDurant210507/050721_186/Isolate_18_S186_R1_001.fastq.gz	/data/metagenomics/formica_rufa_bacterial_genomes/data/CharlotteDurant210507/050721_186/Isolate_18_S186_R2_001.fastq.gz
Isolate_19	/data/metagenomics/formica_rufa_bacterial_genomes/data/CharlotteDurant210507/050721_187/Isolate_19_S187_R1_001.fastq.gz	/data/metagenomics/formica_rufa_bacterial_genomes/data/CharlotteDurant210507/050721_187/Isolate_19_S187_R2_001.fastq.gz
Isolate_28	/data/metagenomics/formica_rufa_bacterial_genomes/data/CharlotteDurant210507/050721_188/Isolate_28_S188_R1_001.fastq.gz	/data/metagenomics/formica_rufa_bacterial_genomes/data/CharlotteDurant210507/050721_188/Isolate_28_S188_R2_001.fastq.gz
Isolate_50	/data/metagenomics/formica_rufa_bacterial_genomes/data/CharlotteDurant210507/050721_189/Isolate_50_S189_R1_001.fastq.gz	/data/metagenomics/formica_rufa_bacterial_genomes/data/CharlotteDurant210507/050721_189/Isolate_50_S189_R2_001.fastq.gz
Isolate_76	/data/metagenomics/formica_rufa_bacterial_genomes/data/CharlotteDurant210507/050721_190/Isolate_76_S190_R1_001.fastq.gz	/data/metagenomics/formica_rufa_bacterial_genomes/data/CharlotteDurant210507/050721_190/Isolate_76_S190_R2_001.fastq.gz
Isolate_92	/data/metagenomics/formica_rufa_bacterial_genomes/data/CharlotteDurant210507/050721_191/Isolate_92_S191_R1_001.fastq.gz	/data/metagenomics/formica_rufa_bacterial_genomes/data/CharlotteDurant210507/050721_191/Isolate_92_S191_R2_001.fastq.gz
